date,flight_id,origin,destination,scheduled_minutes,departure_delay_min,arrival_delay_min,cancelled,delay_cause,passengers,load_factor,route
2026-06-09,LH1255,DUS,BER,57,35.0,41.0,False,Late inbound,110,0.719,DUS-BER
2026-06-09,LH1305,AMS,BER,182,18.0,0.0,False,No delay,201,0.86,AMS-BER
2026-06-09,LH1328,MUC,FRA,74,0.0,0.0,False,No delay,130,0.878,MUC-FRA
2026-06-09,LH1407,MUC,ZRH,197,0.0,6.0,False,No delay,197,0.778,MUC-ZRH
2026-06-09,LH1456,BER,ZRH,125,29.0,30.0,False,Late inbound,106,0.956,BER-ZRH
2026-06-09,LH1461,FRA,AMS,131,14.0,21.0,False,Technical,180,0.892,FRA-AMS
2026-06-09,LH1521,AMS,FRA,191,29.0,23.0,False,No delay,157,0.886,AMS-FRA
2026-06-09,LH1527,AMS,MUC,114,3.0,13.0,False,No delay,137,0.876,AMS-MUC
2026-06-09,LH1603,BER,DUS,147,0.0,9.0,False,No delay,143,0.763,BER-DUS
2026-06-09,LH1619,HAM,MUC,96,26.0,7.0,False,No delay,157,0.709,HAM-MUC
2026-06-09,LH1681,MUC,ZRH,66,6.0,21.0,False,Late inbound,204,0.904,MUC-ZRH
2026-06-09,LH1720,BER,HAM,99,8.0,9.0,False,No delay,160,0.823,BER-HAM
2026-06-09,LH1751,FRA,BER,155,13.0,0.0,False,No delay,141,0.99,FRA-BER
2026-06-09,LH1768,DUS,HAM,80,9.0,0.0,False,No delay,96,0.919,DUS-HAM
2026-06-09,LH1822,VIE,FRA,68,3.0,0.0,False,No delay,73,0.857,VIE-FRA
2026-06-09,LH1833,ZRH,DUS,129,0.0,0.0,False,No delay,186,0.842,ZRH-DUS
2026-06-10,LH1040,VIE,HAM,149,0.0,0.0,False,No delay,113,0.865,VIE-HAM
2026-06-10,LH1057,VIE,DUS,162,6.0,13.0,False,No delay,160,0.944,VIE-DUS
2026-06-10,LH1082,DUS,MUC,186,25.0,27.0,False,No delay,95,0.809,DUS-MUC
2026-06-10,LH1177,MUC,BER,97,9.0,0.0,False,No delay,116,0.83,MUC-BER
2026-06-10,LH1181,AMS,DUS,79,24.0,29.0,False,No delay,216,0.715,AMS-DUS
2026-06-10,LH1186,ZRH,VIE,95,24.0,27.0,False,Ground handling,88,0.802,ZRH-VIE
2026-06-10,LH1272,HAM,DUS,204,8.0,0.0,False,No delay,72,0.863,HAM-DUS
2026-06-10,LH1286,MUC,VIE,209,0.0,0.0,False,No delay,214,0.871,MUC-VIE
2026-06-10,LH1349,AMS,ZRH,208,25.0,10.0,False,No delay,218,0.901,AMS-ZRH
2026-06-10,LH1356,MUC,HAM,163,0.0,0.0,False,No delay,100,0.72,MUC-HAM
2026-06-10,LH1389,DUS,MUC,57,0.0,0.0,False,No delay,195,0.818,DUS-MUC
2026-06-10,LH1466,BER,VIE,89,42.0,51.0,False,Weather,178,0.838,BER-VIE
2026-06-10,LH1531,MUC,ZRH,117,2.0,0.0,False,No delay,112,0.99,MUC-ZRH
2026-06-10,LH1532,MUC,BER,185,30.0,40.0,False,ATC,186,0.744,MUC-BER
2026-06-10,LH1535,FRA,DUS,110,7.0,4.0,False,No delay,178,0.832,FRA-DUS
2026-06-10,LH1622,MUC,FRA,196,11.0,25.0,False,Late inbound,102,0.844,MUC-FRA
2026-06-10,LH1749,ZRH,MUC,168,5.0,25.0,False,Late inbound,112,0.974,ZRH-MUC
2026-06-10,LH1846,AMS,DUS,90,0.0,0.0,False,No delay,105,0.735,AMS-DUS
2026-06-10,LH1883,AMS,ZRH,172,17.0,14.0,False,No delay,169,0.83,AMS-ZRH
2026-06-11,LH1022,HAM,BER,165,19.0,23.0,False,Ground handling,96,0.914,HAM-BER
2026-06-11,LH1167,VIE,HAM,133,42.0,38.0,False,Technical,167,0.794,VIE-HAM
2026-06-11,LH1229,VIE,BER,166,0.0,0.0,False,No delay,121,0.99,VIE-BER
2026-06-11,LH1250,BER,MUC,123,15.0,14.0,False,No delay,202,0.691,BER-MUC
2026-06-11,LH1258,HAM,DUS,182,7.0,5.0,False,No delay,182,0.844,HAM-DUS
2026-06-11,LH1261,HAM,DUS,149,0.0,0.0,False,No delay,218,0.902,HAM-DUS
2026-06-11,LH1348,BER,ZRH,196,0.0,3.0,False,No delay,109,0.931,BER-ZRH
2026-06-11,LH1391,ZRH,HAM,101,0.0,0.0,False,No delay,108,0.745,ZRH-HAM
2026-06-11,LH1410,DUS,VIE,147,3.0,4.0,False,No delay,127,0.728,DUS-VIE
2026-06-11,LH1468,AMS,FRA,109,0.0,5.0,False,No delay,120,0.945,AMS-FRA
2026-06-11,LH1543,HAM,VIE,65,13.0,9.0,False,No delay,174,0.713,HAM-VIE
2026-06-11,LH1563,FRA,AMS,87,9.0,19.0,False,Technical,132,0.823,FRA-AMS
2026-06-11,LH1634,ZRH,HAM,182,28.0,11.0,False,No delay,82,0.88,ZRH-HAM
2026-06-11,LH1660,BER,DUS,114,0.0,0.0,False,No delay,76,0.808,BER-DUS
2026-06-11,LH1684,VIE,BER,145,38.0,35.0,False,Late inbound,186,0.633,VIE-BER
2026-06-11,LH1702,ZRH,AMS,131,,,True,Weather,127,0.798,ZRH-AMS
2026-06-11,LH1703,BER,FRA,186,0.0,0.0,False,No delay,219,0.877,BER-FRA
2026-06-11,LH1760,DUS,AMS,150,18.0,6.0,False,No delay,136,0.776,DUS-AMS
2026-06-12,LH1051,BER,MUC,95,12.0,1.0,False,No delay,73,0.898,BER-MUC
2026-06-12,LH1071,HAM,MUC,57,10.0,16.0,False,Late inbound,102,0.755,HAM-MUC
2026-06-12,LH1101,VIE,DUS,95,19.0,32.0,False,Late inbound,174,0.823,VIE-DUS
2026-06-12,LH1252,HAM,BER,172,13.0,1.0,False,No delay,216,0.98,HAM-BER
2026-06-12,LH1397,VIE,ZRH,170,19.0,10.0,False,No delay,89,0.782,VIE-ZRH
2026-06-12,LH1425,MUC,DUS,199,7.0,7.0,False,No delay,215,0.862,MUC-DUS
2026-06-12,LH1522,DUS,BER,103,18.0,7.0,False,No delay,184,0.828,DUS-BER
2026-06-12,LH1542,AMS,DUS,119,0.0,3.0,False,No delay,120,0.838,AMS-DUS
2026-06-12,LH1837,FRA,VIE,136,21.0,8.0,False,No delay,163,0.787,FRA-VIE
2026-06-12,LH1887,FRA,DUS,70,15.0,14.0,False,No delay,179,0.918,FRA-DUS
2026-06-13,LH1008,BER,FRA,170,18.0,26.0,False,Weather,145,0.935,BER-FRA
2026-06-13,LH1141,ZRH,BER,110,0.0,7.0,False,No delay,176,0.837,ZRH-BER
2026-06-13,LH1223,MUC,DUS,136,9.0,11.0,False,No delay,152,0.902,MUC-DUS
2026-06-13,LH1338,BER,DUS,180,2.0,0.0,False,No delay,135,0.733,BER-DUS
2026-06-13,LH1652,DUS,FRA,139,17.0,25.0,False,Technical,131,0.732,DUS-FRA
2026-06-13,LH1663,AMS,DUS,100,26.0,22.0,False,Late inbound,108,0.832,AMS-DUS
2026-06-13,LH1734,HAM,ZRH,74,0.0,0.0,False,No delay,194,0.724,HAM-ZRH
2026-06-13,LH1871,HAM,ZRH,164,0.0,3.0,False,No delay,149,0.814,HAM-ZRH
2026-06-14,LH1031,VIE,AMS,188,4.0,0.0,False,No delay,82,0.826,VIE-AMS
2026-06-14,LH1077,DUS,AMS,111,25.0,13.0,False,No delay,156,0.87,DUS-AMS
2026-06-14,LH1325,AMS,BER,83,35.0,35.0,False,Late inbound,100,0.839,AMS-BER
2026-06-14,LH1362,HAM,DUS,191,2.0,0.0,False,No delay,141,0.932,HAM-DUS
2026-06-14,LH1411,BER,ZRH,176,19.0,16.0,False,Technical,217,0.896,BER-ZRH
2026-06-14,LH1485,MUC,ZRH,112,3.0,0.0,False,No delay,215,0.8,MUC-ZRH
2026-06-14,LH1566,VIE,BER,70,0.0,1.0,False,No delay,168,0.902,VIE-BER
2026-06-14,LH1625,FRA,DUS,157,,,True,Technical,205,0.922,FRA-DUS
2026-06-15,LH1096,DUS,VIE,145,32.0,22.0,False,No delay,185,0.784,DUS-VIE
2026-06-15,LH1118,FRA,HAM,176,6.0,20.0,False,ATC,207,0.874,FRA-HAM
2026-06-15,LH1147,DUS,AMS,77,2.0,0.0,False,No delay,181,0.885,DUS-AMS
2026-06-15,LH1188,VIE,MUC,186,2.0,1.0,False,No delay,132,0.922,VIE-MUC
2026-06-15,LH1314,FRA,VIE,71,0.0,0.0,False,No delay,90,0.858,FRA-VIE
2026-06-15,LH1326,FRA,BER,207,16.0,15.0,False,No delay,130,0.803,FRA-BER
2026-06-15,LH1383,ZRH,VIE,171,8.0,0.0,False,No delay,119,0.99,ZRH-VIE
2026-06-15,LH1507,ZRH,MUC,193,24.0,23.0,False,ATC,122,0.875,ZRH-MUC
2026-06-15,LH1509,BER,DUS,122,21.0,24.0,False,Late inbound,121,0.844,BER-DUS
2026-06-15,LH1565,FRA,AMS,126,44.0,48.0,False,Ground handling,149,0.767,FRA-AMS
2026-06-15,LH1567,HAM,MUC,149,53.0,53.0,False,Late inbound,163,0.724,HAM-MUC
2026-06-15,LH1592,FRA,DUS,136,0.0,0.0,False,No delay,212,0.896,FRA-DUS
2026-06-15,LH1616,HAM,DUS,92,0.0,0.0,False,No delay,178,0.726,HAM-DUS
2026-06-15,LH1636,MUC,VIE,115,0.0,6.0,False,No delay,98,0.788,MUC-VIE
2026-06-15,LH1718,FRA,MUC,81,9.0,3.0,False,No delay,209,0.782,FRA-MUC
2026-06-15,LH1830,ZRH,AMS,135,27.0,22.0,False,No delay,202,0.815,ZRH-AMS
2026-06-15,LH1831,AMS,VIE,163,0.0,0.0,False,No delay,109,0.842,AMS-VIE
2026-06-15,LH1853,HAM,BER,167,24.0,21.0,False,Technical,207,0.964,HAM-BER
2026-06-15,LH1856,BER,FRA,71,0.0,0.0,False,No delay,115,0.8,BER-FRA
2026-06-16,LH1205,MUC,VIE,179,33.0,28.0,False,No delay,176,0.825,MUC-VIE
2026-06-16,LH1208,AMS,ZRH,114,3.0,0.0,False,No delay,77,0.813,AMS-ZRH
2026-06-16,LH1210,VIE,HAM,187,17.0,2.0,False,No delay,96,0.947,VIE-HAM
2026-06-16,LH1345,AMS,HAM,150,8.0,10.0,False,No delay,86,0.876,AMS-HAM
2026-06-16,LH1379,ZRH,HAM,164,10.0,11.0,False,No delay,147,0.936,ZRH-HAM
2026-06-16,LH1482,BER,VIE,193,28.0,24.0,False,Late inbound,133,0.842,BER-VIE
2026-06-16,LH1617,FRA,BER,205,18.0,0.0,False,No delay,94,0.825,FRA-BER
2026-06-16,LH1695,MUC,BER,202,13.0,11.0,False,No delay,89,0.902,MUC-BER
2026-06-17,LH1038,HAM,MUC,117,3.0,0.0,False,No delay,210,0.99,HAM-MUC
2026-06-17,LH1110,BER,FRA,201,9.0,5.0,False,No delay,152,0.662,BER-FRA
2026-06-17,LH1142,HAM,ZRH,61,0.0,26.0,False,ATC,163,0.853,HAM-ZRH
2026-06-17,LH1151,BER,DUS,97,0.0,0.0,False,No delay,118,0.888,BER-DUS
2026-06-17,LH1215,HAM,BER,157,15.0,10.0,False,No delay,160,0.823,HAM-BER
2026-06-17,LH1280,DUS,ZRH,162,6.0,5.0,False,No delay,80,0.871,DUS-ZRH
2026-06-17,LH1291,BER,HAM,193,0.0,4.0,False,No delay,156,0.81,BER-HAM
2026-06-17,LH1313,ZRH,AMS,139,17.0,20.0,False,Late inbound,210,0.76,ZRH-AMS
2026-06-17,LH1398,DUS,HAM,157,0.0,4.0,False,No delay,207,0.95,DUS-HAM
2026-06-17,LH1412,ZRH,DUS,203,7.0,0.0,False,No delay,183,0.929,ZRH-DUS
2026-06-17,LH1504,MUC,AMS,73,0.0,0.0,False,No delay,165,0.823,MUC-AMS
2026-06-17,LH1508,FRA,BER,131,27.0,29.0,False,No delay,76,0.876,FRA-BER
2026-06-17,LH1572,HAM,FRA,147,19.0,18.0,False,Late inbound,209,0.835,HAM-FRA
2026-06-17,LH1743,DUS,HAM,126,3.0,23.0,False,Late inbound,126,0.899,DUS-HAM
2026-06-17,LH1778,AMS,ZRH,163,32.0,31.0,False,ATC,98,0.99,AMS-ZRH
2026-06-17,LH1889,ZRH,AMS,184,0.0,0.0,False,No delay,123,0.885,ZRH-AMS
2026-06-18,LH1095,VIE,ZRH,91,17.0,30.0,False,Technical,191,0.99,VIE-ZRH
2026-06-18,LH1153,AMS,HAM,56,34.0,40.0,False,No delay,81,0.835,AMS-HAM
2026-06-18,LH1262,ZRH,MUC,171,43.0,66.0,False,Late inbound,108,0.888,ZRH-MUC
2026-06-18,LH1270,VIE,MUC,55,15.0,10.0,False,No delay,95,0.86,VIE-MUC
2026-06-18,LH1298,ZRH,MUC,57,17.0,16.0,False,Late inbound,113,0.768,ZRH-MUC
2026-06-18,LH1341,ZRH,AMS,93,14.0,1.0,False,No delay,111,0.95,ZRH-AMS
2026-06-18,LH1352,FRA,ZRH,145,0.0,1.0,False,No delay,167,0.892,FRA-ZRH
2026-06-18,LH1418,HAM,BER,106,32.0,36.0,False,No delay,96,0.759,HAM-BER
2026-06-18,LH1449,DUS,HAM,107,23.0,14.0,False,No delay,211,0.793,DUS-HAM
2026-06-18,LH1480,AMS,ZRH,64,0.0,0.0,False,No delay,112,0.99,AMS-ZRH
2026-06-18,LH1494,MUC,VIE,166,22.0,18.0,False,Late inbound,76,0.964,MUC-VIE
2026-06-18,LH1533,DUS,ZRH,136,22.0,13.0,False,No delay,119,0.739,DUS-ZRH
2026-06-18,LH1637,FRA,VIE,61,25.0,23.0,False,Late inbound,130,0.908,FRA-VIE
2026-06-18,LH1659,ZRH,FRA,65,15.0,24.0,False,ATC,84,0.781,ZRH-FRA
2026-06-18,LH1795,VIE,MUC,115,3.0,10.0,False,No delay,139,0.858,VIE-MUC
2026-06-18,LH1813,VIE,DUS,147,0.0,1.0,False,No delay,208,0.835,VIE-DUS
2026-06-18,LH1840,HAM,MUC,142,24.0,24.0,False,Late inbound,181,0.909,HAM-MUC
2026-06-18,LH1854,VIE,ZRH,160,0.0,12.0,False,No delay,214,0.94,VIE-ZRH
2026-06-19,LH1087,BER,HAM,68,24.0,24.0,False,Late inbound,120,0.911,BER-HAM
2026-06-19,LH1135,VIE,MUC,107,8.0,5.0,False,No delay,105,0.876,VIE-MUC
2026-06-19,LH1189,MUC,AMS,204,4.0,6.0,False,No delay,161,0.871,MUC-AMS
